Date,Campaign Name,Ad Squad Name,Creative Name,Impressions,Swipes,Paid Impressions,Spend,eCPM,Swipe-Up Rate (%),Conversions,Cost Per Purchase
2026-05-01,Brand Awareness - Gen Z,16-24 US Female,Vertical Video - Trending Sound 15s,412800,4128,$9.80,$4046.44,8.14%,1.00%,22,$183.93
2026-05-01,Conversion - Purchase,Retargeting - Story Viewers,Story Ad - Promo Offer,89200,1606,$12.40,$1106.08,11.07%,1.80%,41,$26.98
2026-05-01,Brand Awareness - Gen Z,16-24 US Male,Snapchat AR Lens - Try-On,198400,992,$9.90,$1964.16,9.90%,0.50%,8,$245.52
2026-05-02,Brand Awareness - Gen Z,16-24 US Female,Vertical Video - Trending Sound 15s,381200,3812,$9.80,$3735.76,9.80%,1.00%,19,$196.62
2026-05-02,Conversion - Purchase,Retargeting - Story Viewers,Story Ad - Promo Offer,82100,1478,$12.40,$1018.04,11.06%,1.80%,37,$27.51
2026-05-02,Brand Awareness - Gen Z,16-24 US Male,Snapchat AR Lens - Try-On,184200,921,$9.90,$1823.58,9.90%,0.50%,6,$303.93
2026-05-03,Brand Awareness - Gen Z,16-24 US Female,Vertical Video - Trending Sound 15s,448600,4486,$9.80,$4396.28,9.80%,1.00%,26,$169.09
2026-05-03,Conversion - Purchase,Retargeting - Story Viewers,Story Ad - Promo Offer,98400,1771,$12.40,$1360.04,$11.07,1.80%,47,$28.94
2026-05-03,Brand Awareness - Gen Z,16-24 US Male,Snapchat AR Lens - Try-On,214800,1074,$9.90,$2126.52,9.90%,0.50%,10,$212.65
2026-05-04,Brand Awareness - Gen Z,16-24 US Female,Vertical Video - Trending Sound 15s,354200,3542,$9.80,$3471.16,9.80%,1.00%,17,$204.19
2026-05-04,Conversion - Purchase,Retargeting - Story Viewers,Story Ad - Promo Offer,74800,1346,$12.40,$1017.88,13.61%,1.80%,34,$29.94
