Day,Campaign,Ad group,Ad,Impressions,Clicks,Cost,CTR,Avg. CPC,Conversions,Cost / conv.,All conv.
2026-05-01,Brand - Exact,Brand Core,Brand Headline Ad,12450,834,541.10,6.70%,$0.65,42,12.88,45
2026-05-01,Competitor - Broad,Competitor Set A,Competitor Comparison Ad,8320,210,378.00,2.52%,$1.80,9,42.00,11
2026-05-01,Non-Brand - Phrase,Analytics Tools,Analytics Phrase Ad,19870,512,921.60,2.58%,$1.80,28,32.91,30
2026-05-02,Brand - Exact,Brand Core,Brand Headline Ad,11980,801,520.65,6.69%,$0.65,39,13.35,42
2026-05-02,Competitor - Broad,Competitor Set A,Competitor Comparison Ad,7640,198,356.40,2.59%,$1.80,7,50.91,9
2026-05-02,Non-Brand - Phrase,Analytics Tools,Analytics Phrase Ad,18430,480,864.00,2.60%,$1.80,25,34.56,27
2026-05-03,Brand - Exact,Brand Core,Brand Headline Ad,13210,887,576.55,6.71%,$0.65,46,12.53,49
2026-05-03,Competitor - Broad,Competitor Set A,Competitor Comparison Ad,9100,228,410.40,2.51%,$1.80,11,37.31,13
2026-05-03,Non-Brand - Phrase,Analytics Tools,Analytics Phrase Ad,21340,558,1004.40,2.61%,$1.80,31,32.40,33
2026-05-04,Brand - Exact,Brand Core,Brand Headline Ad,10870,726,471.90,6.68%,$0.65,36,13.11,38
2026-05-04,Non-Brand - Phrase,Analytics Tools,Analytics Phrase Ad,17650,459,826.20,2.60%,$1.80,22,37.55,24
