Date,Campaign Name,Ad Group Name,Ad Name,Impressions,Video Views,Clicks,CTR (%),CPC,Total Cost,Conversions,Cost Per Conversion,ROAS
2026-05-01,Brand Awareness Q2,18-34 Female US,UGC Hook v1 - 15s,284500,198400,3126,1.10%,$0.82,$2563.32,28,$91.55,1.45
2026-05-01,Conversion - Purchases,Retargeting - Engaged,Product Demo - 30s,42800,38100,892,2.08%,$1.45,$1293.40,34,$38.04,2.87
2026-05-01,Brand Awareness Q2,25-44 Male US,Founder Story - 60s,119200,89600,1044,0.88%,$1.12,$1169.28,9,$129.92,0.98
2026-05-02,Brand Awareness Q2,18-34 Female US,UGC Hook v1 - 15s,261800,182100,2889,1.10%,$0.83,$2397.87,24,$99.91,1.38
2026-05-02,Conversion - Purchases,Retargeting - Engaged,Product Demo - 30s,38900,34600,812,2.09%,$1.44,$1169.28,30,$38.98,2.79
2026-05-02,Brand Awareness Q2,25-44 Male US,Founder Story - 60s,104800,78200,934,0.89%,$1.13,$1055.42,7,$150.77,0.91
2026-05-03,Brand Awareness Q2,18-34 Female US,UGC Hook v1 - 15s,312400,218900,3428,1.10%,$0.81,$2776.68,32,$86.77,1.52
2026-05-03,Conversion - Purchases,Retargeting - Engaged,Product Demo - 30s,48200,42900,1006,2.09%,$1.46,$1468.76,39,$37.66,3.01
2026-05-03,Brand Awareness Q2,25-44 Male US,Founder Story - 60s,128400,96100,1142,0.89%,$1.11,$1267.62,11,$115.24,1.04
2026-05-04,Brand Awareness Q2,18-34 Female US,UGC Hook v1 - 15s,248300,172400,2724,1.10%,$0.82,$2233.68,22,$101.53,1.34
2026-05-04,Conversion - Purchases,Retargeting - Engaged,Product Demo - 30s,36100,32000,752,2.08%,$1.45,$1090.40,27,$40.39,2.71
