Date,Campaign Name,Ad Squad Name,Creative Name,Impressions,Paid Impressions,Swipe Ups,Spend,eCPM,Swipe-Up Rate,Conversions,Cost Per Purchase
2026-05-01,Brand Awareness - Gen Z,16-24 US Female,Vertical Video - Trending Sound 15s,412800,392160,4128,4046.44,9.80,1.00%,22,183.93
2026-05-01,Conversion - Purchase,Retargeting - Story Viewers,Story Ad - Promo Offer,89200,84740,1606,1106.08,12.40,1.80%,41,26.98
2026-05-01,Brand Awareness - Gen Z,16-24 US Male,Snapchat AR Lens - Try-On,198400,188480,992,1964.16,9.90,0.50%,8,245.52
2026-05-02,Brand Awareness - Gen Z,16-24 US Female,Vertical Video - Trending Sound 15s,381200,362140,3812,3735.76,9.80,1.00%,19,196.62
2026-05-02,Conversion - Purchase,Retargeting - Story Viewers,Story Ad - Promo Offer,82100,77995,1478,1018.04,12.40,1.80%,37,27.51
2026-05-02,Brand Awareness - Gen Z,16-24 US Male,Snapchat AR Lens - Try-On,184200,174990,921,1823.58,9.90,0.50%,6,303.93
2026-05-03,Brand Awareness - Gen Z,16-24 US Female,Vertical Video - Trending Sound 15s,448600,426170,4486,4396.28,9.80,1.00%,26,169.09
2026-05-03,Conversion - Purchase,Retargeting - Story Viewers,Story Ad - Promo Offer,98400,93480,1771,1360.04,13.82,1.80%,47,28.94
2026-05-03,Brand Awareness - Gen Z,16-24 US Male,Snapchat AR Lens - Try-On,214800,204060,1074,2126.52,9.90,0.50%,10,212.65
2026-05-04,Brand Awareness - Gen Z,16-24 US Female,Vertical Video - Trending Sound 15s,354200,336490,3542,3471.16,9.80,1.00%,17,204.19
2026-05-04,Conversion - Purchase,Retargeting - Story Viewers,Story Ad - Promo Offer,74800,71060,1346,1017.88,13.61,1.80%,34,29.94
