Date,Campaign name,Ad group name,Ad name,Impressions,Link clicks,Billed charge (USD),eCPC,CTR,Engagements,Engagement rate,Conversions
2026-05-01,Website Traffic - Q2,Broad Interest - Tech,Promoted Tweet - Pain Point Hook,182400,1824,3284.32,1.80,1.00%,5840,3.20%,14
2026-05-01,App Installs - Mobile,Retargeting - Engagers,App Card - Free Trial CTA,48200,964,1831.60,1.90,2.00%,1680,3.49%,38
2026-05-01,Website Traffic - Q2,Lookalike - Followers,Promoted Tweet - Data Stat,94100,659,1187.74,1.80,0.70%,2980,3.17%,8
2026-05-02,Website Traffic - Q2,Broad Interest - Tech,Promoted Tweet - Pain Point Hook,168200,1682,3027.60,1.80,1.00%,5380,3.20%,12
2026-05-02,App Installs - Mobile,Retargeting - Engagers,App Card - Free Trial CTA,44100,882,1675.80,1.90,2.00%,1540,3.49%,33
2026-05-02,Website Traffic - Q2,Lookalike - Followers,Promoted Tweet - Data Stat,86400,605,1088.98,1.80,0.70%,2740,3.17%,7
2026-05-03,Website Traffic - Q2,Broad Interest - Tech,Promoted Tweet - Pain Point Hook,198400,1984,3571.20,1.80,1.00%,6350,3.20%,16
2026-05-03,App Installs - Mobile,Retargeting - Engagers,App Card - Free Trial CTA,52400,1048,1991.20,1.90,2.00%,1830,3.49%,42
2026-05-03,Website Traffic - Q2,Lookalike - Followers,Promoted Tweet - Data Stat,104800,734,1320.96,1.80,0.70%,3320,3.17%,10
2026-05-04,Website Traffic - Q2,Broad Interest - Tech,Promoted Tweet - Pain Point Hook,154800,1548,2786.40,1.80,1.00%,4960,3.20%,11
2026-05-04,App Installs - Mobile,Retargeting - Engagers,App Card - Free Trial CTA,40800,816,1550.40,1.90,2.00%,1424,3.49%,30
