Start date,End date,Campaign name,Ad name,Impressions,Clicks,Total spent,Average CPC,Click-through rate (CTR),Conversions,Cost per conversion,Engagement rate
2026-05-01,2026-05-01,Sponsored Content - Director+,Thought Leadership Post - State of Analytics,48200,384,$1459.20,$3.80,0.80%,12,$121.60,1.92%
2026-05-01,2026-05-01,Lead Gen - VP Marketing,Lead Gen Form - Free Report,22100,198,$1168.38,$5.90,0.90%,28,$41.73,1.84%
2026-05-01,2026-05-01,Retargeting - Website,Single Image - Product Feature,14800,148,$888.00,$6.00,1.00%,9,$98.67,2.10%
2026-05-02,2026-05-02,Sponsored Content - Director+,Thought Leadership Post - State of Analytics,44800,354,$1345.20,$3.80,0.79%,10,$134.52,1.88%
2026-05-02,2026-05-02,Lead Gen - VP Marketing,Lead Gen Form - Free Report,20400,181,$1067.90,$5.90,0.89%,25,$42.72,1.81%
2026-05-02,2026-05-02,Retargeting - Website,Single Image - Product Feature,13200,131,$786.00,$6.00,0.99%,8,$98.25,2.08%
2026-05-03,2026-05-03,Sponsored Content - Director+,Thought Leadership Post - State of Analytics,51400,411,$1561.80,$3.80,0.80%,14,$111.56,1.94%
2026-05-03,2026-05-03,Lead Gen - VP Marketing,Lead Gen Form - Free Report,24800,221,$1303.90,$5.90,0.89%,31,$42.06,1.86%
2026-05-03,2026-05-03,Retargeting - Website,Single Image - Product Feature,16200,162,$972.00,$6.00,1.00%,11,$88.36,2.12%
2026-05-03,2026-05-03,Sponsored Content - Director+,Video Ad - Customer Story 90s,31200,218,$1090.00,$5.00,0.70%,7,$155.71,1.64%
2026-05-04,2026-05-04,Sponsored Content - Director+,Thought Leadership Post - State of Analytics,42100,335,$1273.00,$3.80,0.80%,9,$141.44,1.86%
2026-05-04,2026-05-04,Lead Gen - VP Marketing,Lead Gen Form - Free Report,18900,170,$1003.00,$5.90,0.90%,23,$43.61,1.79%
