Date start,Date stop,Campaign name,Ad set name,Ad name,Impressions,Reach,Clicks (all),CTR (all),CPC (all),Amount spent (USD),Purchases,Purchase ROAS (return on ad spend)
2026-05-01,2026-05-01,Retargeting - Website Visitors,Cart Abandoners,Carousel - Product Showcase,34820,28400,892,2.56%,$1.24,$1106.08,38,3.21
2026-05-01,2026-05-01,Prospecting - Lookalike,LAL 1% - Purchasers,Static - Lifestyle Image,89340,81200,1340,1.50%,$2.18,$2921.20,19,1.84
2026-05-01,2026-05-01,Retargeting - Website Visitors,Viewers 3-7 Days,Video - Testimonial 30s,22100,19800,418,1.89%,$1.65,$689.70,15,2.54
2026-05-02,2026-05-02,Retargeting - Website Visitors,Cart Abandoners,Carousel - Product Showcase,31450,25900,810,2.58%,$1.22,$988.20,34,3.18
2026-05-02,2026-05-02,Prospecting - Lookalike,LAL 1% - Purchasers,Static - Lifestyle Image,82100,74800,1198,1.46%,$2.21,$2647.58,16,1.79
2026-05-02,2026-05-02,Retargeting - Website Visitors,Viewers 3-7 Days,Video - Testimonial 30s,19870,17600,378,1.90%,$1.67,$631.26,12,2.49
2026-05-03,2026-05-03,Retargeting - Website Visitors,Cart Abandoners,Carousel - Product Showcase,38120,31200,984,2.58%,$1.23,$1210.32,42,3.24
2026-05-03,2026-05-03,Prospecting - Lookalike,LAL 1% - Purchasers,Static - Lifestyle Image,96400,87100,1452,1.51%,$2.16,$3136.32,22,1.91
2026-05-03,2026-05-03,Prospecting - Broad Interest,Interest - Marketing Managers,Reels - Product Demo,54200,49800,598,1.10%,$3.10,$1853.80,8,1.22
2026-05-04,2026-05-04,Retargeting - Website Visitors,Cart Abandoners,Carousel - Product Showcase,29800,24400,758,2.54%,$1.25,$947.50,31,3.15
2026-05-04,2026-05-04,Prospecting - Lookalike,LAL 1% - Purchasers,Static - Lifestyle Image,78400,71000,1142,1.46%,$2.20,$2512.40,15,1.77
