Date,Campaign name,Ad group name,Pin name,Impressions,Saves,Total clicks,Pin clicks,Outbound clicks,Spend,CPC,CTR,ROAS
2026-05-01,Shopping - Catalog,Home & Garden - Broad,Modern Minimalist Kitchen - Lifestyle,284100,852,1988,1421,567,1987.72,1.00,0.70%,2.84
2026-05-01,Brand Awareness,Interest - DIY & Crafts,How-To Infographic Pin,198400,595,992,794,198,992.00,1.00,0.50%,1.42
2026-05-01,Shopping - Catalog,Retargeting - Viewers 30d,Product Closeup - White Background,48200,144,867,607,260,1299.36,1.50,1.80%,4.12
2026-05-02,Shopping - Catalog,Home & Garden - Broad,Modern Minimalist Kitchen - Lifestyle,261800,785,1833,1309,524,1832.72,1.00,0.70%,2.76
2026-05-02,Brand Awareness,Interest - DIY & Crafts,How-To Infographic Pin,184200,553,921,737,184,921.00,1.00,0.50%,1.38
2026-05-02,Shopping - Catalog,Retargeting - Viewers 30d,Product Closeup - White Background,44800,134,806,564,242,1209.00,1.50,1.80%,3.98
2026-05-03,Shopping - Catalog,Home & Garden - Broad,Modern Minimalist Kitchen - Lifestyle,312400,937,2187,1562,625,2186.44,1.00,0.70%,2.91
2026-05-03,Brand Awareness,Interest - DIY & Crafts,How-To Infographic Pin,214800,644,1074,859,215,1074.00,1.00,0.50%,1.46
2026-05-03,Shopping - Catalog,Retargeting - Viewers 30d,Product Closeup - White Background,52400,157,943,660,283,1414.50,1.50,1.80%,4.24
2026-05-03,Consideration,Interest - Home Decor,Idea Pin - Room Makeover Series,98400,295,492,394,98,738.00,1.50,0.50%,1.18
2026-05-04,Shopping - Catalog,Home & Garden - Broad,Modern Minimalist Kitchen - Lifestyle,241200,723,1688,1207,481,1688.00,1.00,0.70%,2.68
2026-05-04,Shopping - Catalog,Retargeting - Viewers 30d,Product Closeup - White Background,40200,121,724,507,217,1085.40,1.50,1.80%,3.82
